edge_followed_by,edge_follow,username_length,username_has_number,full_name_has_number,full_name_length,is_private,is_joined_recently,has_channel,is_business_account,has_guides,has_external_url,is_fake
0.001,0.257,13,1,1,13,0,0,0,0,0,0,1
0.0,0.958,9,1,0,0,0,1,0,0,0,0,1
0.0,0.253,12,0,0,0,0,0,0,0,0,0,1
0.0,0.977,10,1,0,0,0,0,0,0,0,0,1
0.0,0.321,11,0,0,11,1,0,0,0,0,0,1
0.0,0.917,15,1,0,0,0,1,0,0,0,0,1
0.0,0.076,9,1,1,9,0,1,0,0,0,0,1
0.0,0.72,15,1,0,0,0,0,0,0,0,0,1
0.001,0.731,9,1,0,11,1,0,0,0,0,0,1
0.0,0.999,7,1,1,9,0,0,0,0,0,0,1
0.0,0.452,12,1,1,9,0,1,0,0,0,0,1
0.0,0.159,9,1,0,4,0,1,0,0,0,0,1
0.0,0.417,9,1,1,9,0,0,0,0,0,0,1
0.0,0.561,15,0,0,0,1,0,0,0,0,0,1
0.0,0.958,8,1,0,0,0,0,0,0,0,0,1
0.0,0.851,10,0,0,0,0,0,0,0,0,0,1
0.0,0.399,11,0,0,0,1,0,0,0,0,0,1
0.0,0.098,13,0,0,6,1,1,0,0,0,0,1
0.0,0.161,13,1,0,1,0,1,0,0,0,0,1
0.0,0.097,10,1,0,0,0,1,0,0,0,0,1
0.001,0.227,17,1,0,0,0,0,0,0,0,0,1
0.002,0.18,14,0,0,16,0,0,0,1,0,0,1
0.0,0.723,13,1,0,0,1,0,0,0,0,0,1
0.0,0.193,12,1,0,11,1,1,0,0,0,0,1
0.0,0.133,11,1,0,7,1,1,0,0,0,0,1
0.0,0.368,10,1,0,0,0,1,0,0,0,0,1
0.005,0.174,12,0,0,7,0,0,0,0,0,0,1
0.002,0.623,13,1,0,4,1,0,0,0,0,0,1
0.0,0.649,14,1,0,0,0,1,0,0,0,0,1
0.002,0.534,13,1,0,6,0,0,0,0,0,0,1
0.002,0.432,9,1,0,0,0,0,0,0,0,0,1
0.0,0.17,12,0,0,5,0,0,0,0,0,1,1
0.0,0.326,8,1,0,0,0,1,0,0,0,0,1
0.0,0.881,10,1,0,7,0,0,0,0,0,0,1
0.0,0.577,13,0,0,1,1,0,0,0,0,0,1
0.002,0.354,17,0,0,4,0,0,0,0,0,0,1
0.0,0.661,8,0,0,0,0,0,0,0,0,0,1
0.0,0.999,11,0,0,0,0,0,0,0,0,0,1
0.0,0.613,13,1,0,0,0,1,0,0,0,0,1
0.0,0.48,20,1,0,15,1,0,0,0,0,0,1
0.0,0.658,10,1,1,7,0,0,0,0,0,0,1
0.0,0.417,7,1,0,0,0,0,0,0,0,0,1
0.0,0.089,15,0,0,0,1,1,0,0,0,0,1
0.0,0.884,13,1,1,13,1,0,0,0,0,0,1
0.0,0.098,14,1,0,0,0,1,0,0,0,0,1
0.0,0.229,10,0,0,2,0,0,0,0,0,0,1
0.0,0.446,10,1,0,0,0,0,0,0,0,0,1
0.0,0.903,15,1,1,13,1,0,0,0,0,0,1
0.0,0.386,9,1,0,0,0,1,0,0,0,0,1
0.001,0.999,11,0,0,7,0,0,0,0,0,0,1
0.0,0.291,9,1,1,9,0,1,0,0,0,0,1
0.0,0.389,18,1,0,0,0,0,0,0,0,0,1
0.0,0.72,8,1,0,11,0,0,0,0,0,0,1
0.0,0.649,10,1,0,0,1,0,0,0,0,0,1
0.0,0.221,9,0,0,0,1,0,0,0,0,0,1
0.0,0.439,10,1,0,0,0,0,0,0,0,0,1
0.0,0.517,6,1,0,3,0,1,0,0,0,0,1
0.0,0.385,12,1,1,12,0,0,0,0,0,0,1
